VIN,body_exit_time,body_cycle_min,body_extra_delay_min,actual_body_sequence
VIN0000139,1/1/2024 17:16,4.1933952,0,139
VIN0000140,1/1/2024 17:20,4.180418,0,140
VIN0000141,1/1/2024 17:25,3.6351302,0,141
VIN0000142,1/1/2024 17:30,3.8492977,0,142
VIN0000143,1/1/2024 17:35,3.9058767,0,143
VIN0000144,1/1/2024 17:40,3.9640186,0,144
VIN0000145,1/1/2024 17:44,3.8646141,0,145
VIN0000146,1/1/2024 17:49,3.9031911,0,146
VIN0000147,1/1/2024 17:54,4.0346412,0,147
VIN0000148,1/1/2024 17:59,4.2792586,0,148
VIN0000149,1/1/2024 18:04,3.769702,0,149
VIN0000150,1/1/2024 18:09,4.3411495,0,150
VIN0000151,1/1/2024 18:14,3.4484887,0,151
VIN0000152,1/1/2024 18:18,4.0873265,0,152
VIN0000153,1/1/2024 18:23,4.3390358,0,153
VIN0000154,1/1/2024 18:28,3.7258267,0,154
VIN0000156,1/1/2024 18:38,3.9252743,0,155
VIN0000155,1/1/2024 18:42,4.1763095,9.5648179,156
VIN0000157,1/1/2024 18:43,4.1926485,0,157
VIN0000158,1/1/2024 18:48,3.5958791,0,158
VIN0000159,1/1/2024 18:52,4.4129812,0,159
VIN0000160,1/1/2024 18:57,3.7900625,0,160
VIN0000161,1/1/2024 19:02,4.4785507,0,161
VIN0000162,1/1/2024 19:07,4.5169823,0,162
VIN0000163,1/1/2024 19:12,4.4597559,0,163
VIN0000164,1/1/2024 19:17,4.4928141,0,164
VIN0000165,1/1/2024 19:22,4.1904263,0,165
VIN0000166,1/1/2024 19:26,4.352228,0,166
VIN0000167,1/1/2024 19:31,3.7034801,0,167
VIN0000169,1/2/2024 6:09,3.6144713,0,168
VIN0000168,1/2/2024 6:14,3.3937677,10.0259505,169
VIN0000170,1/2/2024 6:15,4.4410068,0,170
VIN0000171,1/2/2024 6:19,4.2209246,0,171
VIN0000174,1/2/2024 6:33,3.5877273,0,172
VIN0000175,1/2/2024 6:38,3.5472183,0,173
VIN0000172,1/2/2024 6:39,3.625893,15.4070504,174
VIN0000176,1/2/2024 6:43,3.8320009,0,175
VIN0000177,1/2/2024 6:47,3.4760536,0,176
VIN0000178,1/2/2024 6:52,3.7066656,0,177
VIN0000179,1/2/2024 6:57,4.7241553,0,178
VIN0000180,1/2/2024 7:02,4.2147387,0,179
VIN0000181,1/2/2024 7:07,3.7529507,0,180
VIN0000182,1/2/2024 7:11,3.5418883,0,181
VIN0000183,1/2/2024 7:16,5.1735831,0,182
VIN0000173,1/2/2024 7:20,4.5956279,50.9503701,183
VIN0000184,1/2/2024 7:21,4.0089097,0,184
VIN0000185,1/2/2024 7:26,3.7458134,0,185
VIN0000186,1/2/2024 7:31,4.294466,0,186
VIN0000187,1/2/2024 7:35,4.2954294,0,187
VIN0000188,1/2/2024 7:40,3.6702189,0,188
VIN0000189,1/2/2024 7:44,4.6964907,0,189
VIN0000190,1/2/2024 7:49,4.3048032,0,190
VIN0000191,1/2/2024 7:55,3.4293854,0,191
VIN0000192,1/2/2024 7:59,4.5568728,0,192
VIN0000193,1/2/2024 8:04,4.7475183,0,193
VIN0000194,1/2/2024 8:08,4.4240276,0,194
VIN0000195,1/2/2024 8:14,4.3991603,0,195
VIN0000197,1/2/2024 8:23,4.5855984,0,196
VIN0000198,1/2/2024 8:28,4.6090375,0,197
VIN0000199,1/2/2024 8:33,3.7454076,0,198
VIN0000200,1/2/2024 8:38,4.1120163,0,199
VIN0000201,1/2/2024 8:42,3.5334634,0,200
VIN0000202,1/2/2024 8:48,4.0564022,0,201
VIN0000203,1/2/2024 8:52,3.6409787,0,202
VIN0000204,1/2/2024 8:57,4.5330025,0,203
VIN0000205,1/2/2024 9:02,3.6283163,0,204
VIN0000206,1/2/2024 9:07,4.8944984,0,205
VIN0000207,1/2/2024 9:11,3.5956011,0,206
VIN0000208,1/2/2024 9:16,4.0329822,0,207
VIN0000209,1/2/2024 9:20,4.5406042,0,208
VIN0000210,1/2/2024 9:26,4.7909558,0,209
VIN0000211,1/2/2024 9:31,3.9851377,0,210
VIN0000212,1/2/2024 9:35,4.699638,0,211
VIN0000196,1/2/2024 9:38,4.837153,79.6741465,212
VIN0000213,1/2/2024 9:40,4.0243583,0,213
VIN0000214,1/2/2024 9:45,3.8106818,0,214
VIN0000215,1/2/2024 9:50,4.5985216,0,215
VIN0000216,1/2/2024 9:55,3.9508205,0,216
VIN0000217,1/2/2024 9:59,4.1593058,0,217
VIN0000218,1/2/2024 10:04,4.832769,0,218
VIN0000219,1/2/2024 10:09,4.4698888,0,219
VIN0000220,1/2/2024 10:14,4.2055139,0,220
VIN0000221,1/2/2024 10:19,3.3385298,0,221
VIN0000222,1/2/2024 10:24,3.654975,0,222
VIN0000223,1/2/2024 10:29,4.5073553,0,223
VIN0000224,1/2/2024 10:33,4.3446423,0,224
VIN0000225,1/2/2024 10:38,3.773277,0,225
VIN0000226,1/2/2024 10:43,4.489643,0,226
VIN0000227,1/2/2024 10:47,4.1738761,0,227
VIN0000228,1/2/2024 10:52,4.0522337,0,228
VIN0000229,1/2/2024 10:57,4.046084,0,229
VIN0000230,1/2/2024 11:02,4.5384833,0,230
VIN0000231,1/2/2024 11:06,4.5035643,0,231
VIN0000232,1/2/2024 11:12,3.2964169,0,232
VIN0000233,1/2/2024 11:16,4.0868269,0,233
VIN0000234,1/2/2024 11:21,5.1429515,0,234
VIN0000235,1/2/2024 11:25,4.2541879,0,235
VIN0000236,1/2/2024 11:31,4.1846538,0,236
VIN0000237,1/2/2024 11:35,3.7774284,0,237
VIN0000238,1/2/2024 11:40,4.5016145,0,238
VIN0000239,1/2/2024 11:45,3.9086991,0,239
VIN0000240,1/2/2024 11:49,4.1458776,0,240
VIN0000242,1/2/2024 11:59,3.2682282,0,241
VIN0000241,1/2/2024 12:03,4.6744669,8.2004383,242
VIN0000243,1/2/2024 12:04,3.2321082,0,243
VIN0000244,1/2/2024 12:09,4.5986235,0,244
VIN0000245,1/2/2024 12:13,4.4689419,0,245
VIN0000246,1/2/2024 12:18,4.866159,0,246
VIN0000247,1/2/2024 12:23,4.2328019,0,247
VIN0000248,1/2/2024 12:28,4.0765825,0,248
VIN0000249,1/2/2024 12:33,4.1569464,0,249
VIN0000250,1/2/2024 12:38,4.9721724,0,250
VIN0000251,1/2/2024 12:42,3.4754051,0,251
VIN0000252,1/2/2024 12:46,3.8536288,0,252
VIN0000253,1/2/2024 12:52,4.4496916,0,253
VIN0000254,1/2/2024 12:56,4.0698179,0,254
VIN0000255,1/2/2024 13:01,4.7611338,0,255
VIN0000256,1/2/2024 13:06,4.0631669,0,256
VIN0000257,1/2/2024 13:11,3.7858511,0,257
VIN0000258,1/2/2024 13:15,4.4757776,0,258
VIN0000259,1/2/2024 13:20,3.348879,0,259
VIN0000260,1/2/2024 13:25,4.2181108,0,260
VIN0000261,1/2/2024 13:30,4.8422342,0,261
VIN0000262,1/2/2024 13:35,3.4547958,0,262
VIN0000263,1/2/2024 13:40,4.5480154,0,263
VIN0000264,1/2/2024 13:45,4.5235926,0,264
VIN0000265,1/2/2024 13:49,5.1510403,0,265
VIN0000267,1/2/2024 13:59,4.0549705,0,266
VIN0000268,1/2/2024 14:03,3.6818967,0,267
VIN0000269,1/2/2024 14:08,4.2767315,0,268
VIN0000270,1/2/2024 14:13,5.055052,0,269
VIN0000272,1/2/2024 14:23,3.6775145,0,270
VIN0000271,1/2/2024 14:26,3.6041206,7.858573,271
VIN0000266,1/2/2024 14:27,3.6701416,32.6666013,272
VIN0000274,1/2/2024 14:33,4.3159009,0,273
VIN0000275,1/2/2024 14:37,3.9171288,0,274
VIN0000276,1/2/2024 14:42,4.5511029,0,275
VIN0000277,1/2/2024 14:47,4.2158273,0,276
VIN0000278,1/2/2024 14:52,4.896124,0,277
VIN0000279,1/2/2024 14:57,5.0187509,0,278
VIN0000280,1/2/2024 15:02,4.6950571,0,279
VIN0000281,1/2/2024 15:06,4.4881412,0,280
VIN0000282,1/2/2024 15:11,3.558994,0,281
VIN0000283,1/2/2024 15:16,4.3563144,0,282
VIN0000273,1/2/2024 15:19,4.315164,51.4496966,283
VIN0000284,1/2/2024 15:21,3.4601879,0,284
VIN0000285,1/2/2024 15:25,5.1392877,0,285
VIN0000286,1/2/2024 15:31,4.0264378,0,286
VIN0000288,1/2/2024 15:40,3.2722509,0,287
VIN0000289,1/2/2024 15:44,4.7971699,0,288
VIN0000287,1/2/2024 15:46,4.681258,11.2012794,289
VIN0000290,1/2/2024 15:49,4.1827226,0,290
VIN0000291,1/2/2024 15:54,3.6563112,0,291
VIN0000292,1/2/2024 15:59,3.1246792,0,292
VIN0000293,1/2/2024 16:04,4.6800884,0,293
VIN0000294,1/2/2024 16:08,4.3379165,0,294
VIN0000295,1/2/2024 16:13,5.1106204,0,295
VIN0000296,1/2/2024 16:18,3.870108,0,296
VIN0000297,1/2/2024 16:23,5.1684957,0,297
VIN0000298,1/2/2024 16:28,4.6377497,0,298
VIN0000299,1/2/2024 16:32,4.817383,0,299
VIN0000300,1/2/2024 16:37,3.5379372,0,300
VIN0000301,1/2/2024 16:41,3.7683281,0,301
VIN0000302,1/2/2024 16:47,4.3811692,0,302
VIN0000303,1/2/2024 16:51,4.6897876,0,303
VIN0000304,1/2/2024 16:56,3.8831199,0,304
VIN0000305,1/2/2024 17:00,3.271464,0,305
VIN0000306,1/2/2024 17:06,3.5773422,0,306
VIN0000307,1/2/2024 17:11,4.1779353,0,307
VIN0000308,1/2/2024 17:15,3.758779,0,308
VIN0000309,1/2/2024 17:19,3.7564035,0,309
VIN0000310,1/2/2024 17:25,3.887979,0,310
VIN0000311,1/2/2024 17:30,4.7179205,0,311
VIN0000313,1/2/2024 17:39,4.5858955,0,312
VIN0000314,1/2/2024 17:44,4.206754,0,313
VIN0000312,1/2/2024 17:45,3.662508,10.740151,314
VIN0000315,1/2/2024 17:49,3.2443508,0,315
VIN0000316,1/2/2024 17:53,3.6485737,0,316
VIN0000317,1/2/2024 17:58,3.3229407,0,317
VIN0000318,1/2/2024 18:03,5.0536301,0,318
VIN0000319,1/2/2024 18:08,3.8692909,0,319
VIN0000320,1/2/2024 18:12,3.9827846,0,320
VIN0000321,1/2/2024 18:17,4.5612538,0,321
VIN0000322,1/2/2024 18:22,3.8607767,0,322
VIN0000323,1/2/2024 18:27,4.0498186,0,323
VIN0000324,1/2/2024 18:32,4.608017,0,324
VIN0000325,1/2/2024 18:36,3.6263789,0,325
VIN0000326,1/2/2024 18:41,3.8045788,0,326
VIN0000327,1/2/2024 18:46,4.4560845,0,327
VIN0000328,1/2/2024 18:51,4.4053903,0,328
VIN0000329,1/2/2024 18:56,3.8771067,0,329
VIN0000330,1/2/2024 19:01,4.0668919,0,330
VIN0000331,1/2/2024 19:05,4.1301552,0,331
VIN0000333,1/3/2024 6:09,4.4060916,0,332
VIN0000335,1/3/2024 6:19,3.8994263,0,333
VIN0000336,1/3/2024 6:24,3.1966861,0,334
VIN0000337,1/3/2024 6:28,3.6094426,0,335
VIN0000332,1/3/2024 6:31,4.6008394,26.1075239,336
VIN0000338,1/3/2024 6:34,4.8434464,0,337
VIN0000339,1/3/2024 6:39,4.0357256,0,338
VIN0000340,1/3/2024 6:44,4.017442,0,339
VIN0000341,1/3/2024 6:49,3.6071472,0,340
VIN0000342,1/3/2024 6:53,4.8123024,0,341
VIN0000334,1/3/2024 6:54,3.9699943,39.9075811,342
VIN0000343,1/3/2024 6:58,4.1773786,0,343
VIN0000344,1/3/2024 7:03,3.8633514,0,344
VIN0000345,1/3/2024 7:08,4.9743596,0,345
VIN0000346,1/3/2024 7:13,3.2698226,0,346
VIN0000347,1/3/2024 7:18,4.2770172,0,347
VIN0000348,1/3/2024 7:23,4.3552201,0,348
VIN0000349,1/3/2024 7:27,3.6640989,0,349
VIN0000350,1/3/2024 7:33,3.6348425,0,350
VIN0000351,1/3/2024 7:38,4.5660085,0,351
VIN0000352,1/3/2024 7:42,4.0588057,0,352
VIN0000353,1/3/2024 7:47,4.2135058,0,353
VIN0000354,1/3/2024 7:52,3.1968633,0,354
VIN0000355,1/3/2024 7:57,4.1344704,0,355
VIN0000356,1/3/2024 8:01,3.4433443,0,356
VIN0000357,1/3/2024 8:06,3.8714014,0,357
VIN0000358,1/3/2024 8:11,4.7293957,0,358
VIN0000359,1/3/2024 8:16,4.8987349,0,359
VIN0000360,1/3/2024 8:21,4.6306873,0,360
VIN0000361,1/3/2024 8:26,4.0636642,0,361
VIN0000362,1/3/2024 8:31,4.2201976,0,362
VIN0000363,1/3/2024 8:36,4.0263982,0,363
VIN0000364,1/3/2024 8:41,4.0330064,0,364
VIN0000365,1/3/2024 8:45,3.8573149,0,365
VIN0000366,1/3/2024 8:51,4.8216313,0,366
VIN0000367,1/3/2024 8:56,3.4345746,0,367
VIN0000368,1/3/2024 9:00,3.6151512,0,368
VIN0000369,1/3/2024 9:05,4.5826818,0,369
VIN0000370,1/3/2024 9:10,4.491738,0,370
VIN0000371,1/3/2024 9:15,4.1776716,0,371
VIN0000372,1/3/2024 9:20,3.9707743,0,372
VIN0000373,1/3/2024 9:25,4.6673818,0,373
VIN0000374,1/3/2024 9:29,3.3559424,0,374
VIN0000375,1/3/2024 9:34,4.4566517,0,375
VIN0000376,1/3/2024 9:39,4.5901888,0,376
VIN0000377,1/3/2024 9:44,4.9197124,0,377
VIN0000378,1/3/2024 9:49,4.5834295,0,378
VIN0000379,1/3/2024 9:54,4.2905696,0,379
VIN0000380,1/3/2024 9:59,3.0552045,0,380
VIN0000381,1/3/2024 10:03,3.3434917,0,381
VIN0000382,1/3/2024 10:09,4.9457023,0,382
VIN0000383,1/3/2024 10:14,4.2543644,0,383
VIN0000384,1/3/2024 10:18,3.8781931,0,384
VIN0000385,1/3/2024 10:23,4.3660036,0,385
VIN0000387,1/3/2024 10:33,4.5863441,0,386
VIN0000388,1/3/2024 10:38,4.298326,0,387
VIN0000389,1/3/2024 10:43,4.1025248,0,388
VIN0000386,1/3/2024 10:45,2.9512524,16.974932,389
VIN0000390,1/3/2024 10:47,3.3566153,0,390
VIN0000391,1/3/2024 10:52,4.0531544,0,391
VIN0000392,1/3/2024 11:07,4.2980857,9.9210235,392
VIN0000395,1/3/2024 11:12,4.2583988,0,393
VIN0000396,1/3/2024 11:16,3.8789648,0,394
VIN0000393,1/3/2024 11:18,3.930632,15.7731001,395
VIN0000397,1/3/2024 11:22,4.4307075,0,396
VIN0000394,1/3/2024 11:25,3.2729049,17.8609191,397
VIN0000398,1/3/2024 11:26,4.0916871,0,398
VIN0000399,1/3/2024 11:31,4.4218312,0,399
VIN0000400,1/3/2024 11:36,4.5125777,0,400
VIN0000401,1/3/2024 11:41,4.4956181,0,401
VIN0000402,1/3/2024 11:46,5.1206748,0,402
VIN0000403,1/3/2024 11:51,4.0119344,0,403
VIN0000404,1/3/2024 11:56,4.0974919,0,404
VIN0000405,1/3/2024 12:00,4.5066141,0,405
VIN0000406,1/3/2024 12:06,4.4569033,0,406
VIN0000407,1/3/2024 12:10,5.2083933,0,407
VIN0000408,1/3/2024 12:15,3.7845419,0,408
VIN0000409,1/3/2024 12:20,3.5918169,0,409
VIN0000410,1/3/2024 12:25,4.2796134,0,410
VIN0000411,1/3/2024 12:30,3.9676017,0,411
VIN0000412,1/3/2024 12:35,4.5751584,0,412
VIN0000413,1/3/2024 12:40,4.5555517,0,413
VIN0000414,1/3/2024 12:45,3.5123354,0,414
VIN0000415,1/3/2024 12:49,4.2974256,0,415
VIN0000416,1/3/2024 12:55,4.0759275,0,416
VIN0000417,1/3/2024 12:59,4.5828469,0,417
VIN0000418,1/3/2024 13:04,4.0322299,0,418
VIN0000419,1/3/2024 13:09,3.7521613,0,419
VIN0000420,1/3/2024 13:14,3.8389538,0,420
VIN0000421,1/3/2024 13:19,3.8369346,0,421
VIN0000422,1/3/2024 13:24,4.0671773,0,422
VIN0000423,1/3/2024 13:29,3.7347229,0,423
VIN0000424,1/3/2024 13:34,4.6164311,0,424
VIN0000425,1/3/2024 13:38,4.0826851,0,425
VIN0000426,1/3/2024 13:43,3.9124472,0,426
VIN0000427,1/3/2024 13:48,4.0629856,0,427
VIN0000428,1/3/2024 13:53,4.4399708,0,428
VIN0000429,1/3/2024 13:58,4.7048918,0,429
VIN0000430,1/3/2024 14:02,3.407323,0,430
VIN0000431,1/3/2024 14:08,4.4333859,0,431
VIN0000433,1/3/2024 14:17,3.2571732,0,432
VIN0000434,1/3/2024 14:22,3.9272295,0,433
VIN0000435,1/3/2024 14:27,3.9330358,0,434
VIN0000436,1/3/2024 14:32,3.7999973,0,435
VIN0000437,1/3/2024 14:37,3.5503141,0,436
VIN0000438,1/3/2024 14:42,4.055859,0,437
VIN0000439,1/3/2024 14:47,3.7257193,0,438
VIN0000440,1/3/2024 14:51,4.3114051,0,439
VIN0000432,1/3/2024 14:56,3.186484,43.0613597,440
VIN0000441,1/3/2024 14:57,4.3933078,0,441
VIN0000442,1/3/2024 15:01,4.1388399,0,442
VIN0000443,1/3/2024 15:06,4.1604332,0,443
VIN0000444,1/3/2024 15:11,4.026271,0,444
VIN0000445,1/3/2024 15:16,4.0060564,0,445
VIN0000446,1/3/2024 15:21,3.9855791,0,446
VIN0000447,1/3/2024 15:26,3.6125195,0,447
VIN0000448,1/3/2024 15:30,3.7282835,0,448
VIN0000450,1/3/2024 15:40,5.4906923,0,449
VIN0000451,1/3/2024 15:45,4.1949533,0,450
VIN0000452,1/3/2024 15:50,3.4180411,0,451
VIN0000449,1/3/2024 15:54,3.9948505,18.5773998,452
VIN0000453,1/3/2024 15:55,3.6272805,0,453
VIN0000454,1/3/2024 16:00,3.0319205,0,454
VIN0000455,1/3/2024 16:05,4.921083,0,455
VIN0000456,1/3/2024 16:10,5.0319063,0,456
VIN0000457,1/3/2024 16:15,4.1665533,0,457
VIN0000458,1/3/2024 16:20,3.9614447,0,458
VIN0000459,1/3/2024 16:24,4.4100179,0,459
VIN0000460,1/3/2024 16:29,4.8641064,0,460
VIN0000461,1/3/2024 16:34,3.9805472,0,461
VIN0000462,1/3/2024 16:39,4.8912122,0,462
VIN0000463,1/3/2024 16:44,4.1489124,0,463
VIN0000464,1/3/2024 16:48,4.9543078,0,464
VIN0000465,1/3/2024 16:54,4.2743907,0,465
VIN0000466,1/3/2024 16:59,4.1813171,0,466
VIN0000467,1/3/2024 17:03,3.4250295,0,467
VIN0000468,1/3/2024 17:08,4.0716535,0,468
VIN0000469,1/3/2024 17:13,2.9253992,0,469
VIN0000470,1/3/2024 17:18,3.794604,0,470
VIN0000471,1/3/2024 17:23,4.7440833,0,471
VIN0000472,1/3/2024 17:27,4.6937194,0,472
VIN0000473,1/3/2024 17:33,4.3060855,0,473
VIN0000474,1/3/2024 17:38,3.643912,0,474
VIN0000475,1/3/2024 17:42,4.9123438,0,475
VIN0000476,1/3/2024 17:47,4.5874153,0,476
VIN0000477,1/3/2024 17:52,3.6916071,0,477
VIN0000479,1/3/2024 18:02,4.6589444,0,478
VIN0000480,1/3/2024 18:07,3.3756965,0,479
VIN0000481,1/3/2024 18:12,4.3346554,0,480
VIN0000482,1/3/2024 18:16,3.7896093,0,481
VIN0000483,1/3/2024 18:21,4.6441552,0,482
VIN0000484,1/3/2024 18:27,4.8455481,0,483
VIN0000485,1/3/2024 18:31,4.9976492,0,484
VIN0000478,1/3/2024 18:32,4.3422257,35.3116596,485
VIN0000486,1/3/2024 18:36,4.4661364,0,486
VIN0000487,1/3/2024 18:40,4.2745647,0,487
VIN0000488,1/3/2024 18:46,4.5557639,0,488
VIN0000490,1/3/2024 18:55,3.9249038,0,489
VIN0000489,1/3/2024 18:58,3.9514405,7.138733,490
VIN0000491,1/3/2024 19:00,3.5850468,0,491
VIN0000492,1/3/2024 19:05,4.348683,0,492
VIN0000493,1/3/2024 19:10,3.654093,0,493
VIN0000494,1/3/2024 19:15,3.6857824,0,494
VIN0000496,1/3/2024 19:25,3.8975056,0,495
