VIN,paint_start_time,paint_end_time,paint_proc_min,paint_changeover_min,paint_quality_hold_min,actual_paint_sequence
VIN0000036,2024-01-01 09:27:00,2024-01-01 09:33:00,1.4694209,4.2560339,0.0,35
VIN0000037,2024-01-01 09:33:00,2024-01-01 09:37:00,1.2578659,3.4514471,0.0,36
VIN0000038,2024-01-01 09:37:00,2024-01-01 09:44:00,1.5193252,4.9125805,0.0,37
VIN0000039,2024-01-01 09:44:00,2024-01-01 09:50:00,1.464017,4.8972655,0.0,38
VIN0000040,2024-01-01 09:50:00,2024-01-01 09:52:00,1.6067899,0.0,0.0,39
VIN0000041,2024-01-01 09:52:00,2024-01-01 09:53:00,1.5565805,0.0,0.0,40
VIN0000035,2024-01-01 09:53:00,2024-01-01 09:59:00,1.2568393,4.3725594,0.0,41
VIN0000042,2024-01-01 09:59:00,2024-01-01 10:04:00,1.3173897,4.1397108,0.0,42
VIN0000043,2024-01-01 10:04:00,2024-01-01 10:06:00,1.4043619,0.0,0.0,43
VIN0000045,2024-01-01 10:06:00,2024-01-01 10:13:00,1.3137333,5.5140827,0.0,44
VIN0000044,2024-01-01 10:13:00,2024-01-01 10:20:00,1.377778,6.2295025,0.0,45
VIN0000046,2024-01-01 10:20:00,2024-01-01 11:12:00,1.621328,4.6632229,46.0386893,46
VIN0000047,2024-01-01 11:12:00,2024-01-01 11:19:00,1.5126107,5.0631665,0.0,47
VIN0000048,2024-01-01 11:19:00,2024-01-01 11:25:00,1.4322389,4.7340245,0.0,48
VIN0000049,2024-01-01 11:25:00,2024-01-01 11:31:00,1.8435521,4.3199977,0.0,49
VIN0000050,2024-01-01 11:31:00,2024-01-01 11:37:00,1.2869828,4.0392644,0.0,50
VIN0000051,2024-01-01 11:37:00,2024-01-01 11:42:00,1.2536617,4.3215937,0.0,51
VIN0000053,2024-01-01 11:42:00,2024-01-01 11:49:00,1.5653852,4.8370779,0.0,52
VIN0000054,2024-01-01 11:49:00,2024-01-01 11:54:00,1.3159742,4.3006308,0.0,53
VIN0000056,2024-01-01 11:54:00,2024-01-01 12:00:00,1.5093357,3.8063592,0.0,54
VIN0000052,2024-01-01 12:00:00,2024-01-01 12:01:00,1.3587969,0.0,0.0,55
VIN0000055,2024-01-01 12:01:00,2024-01-01 12:06:00,1.7904895,3.4523118,0.0,56
VIN0000057,2024-01-01 12:06:00,2024-01-01 12:13:00,1.4796782,5.2772895,0.0,57
VIN0000058,2024-01-01 12:13:00,2024-01-01 12:18:00,1.0385105,3.8828466,0.0,58
VIN0000059,2024-01-01 12:18:00,2024-01-01 12:23:00,1.5503564,3.5125458,0.0,59
VIN0000060,2024-01-01 12:23:00,2024-01-01 12:29:00,1.1234292,4.4189437,0.0,60
VIN0000061,2024-01-01 12:29:00,2024-01-01 12:34:00,1.6580751,4.0633309,0.0,61
VIN0000062,2024-01-01 12:34:00,2024-01-01 12:40:00,1.6035674,4.5882631,0.0,62
VIN0000063,2024-01-01 12:40:00,2024-01-01 12:47:00,1.6093259,5.0799935,0.0,63
VIN0000065,2024-01-01 12:47:00,2024-01-01 12:53:00,1.4518988,4.7092241,0.0,64
VIN0000066,2024-01-01 12:53:00,2024-01-01 13:00:00,1.5906237,4.8082416,0.0,65
VIN0000067,2024-01-01 13:00:00,2024-01-01 13:04:00,1.1603645,3.5561951,0.0,66
VIN0000068,2024-01-01 13:04:00,2024-01-01 13:11:00,1.2326412,4.9708878,0.0,67
VIN0000069,2024-01-01 13:11:00,2024-01-01 13:16:00,1.6294592,3.9749766,0.0,68
VIN0000064,2024-01-01 13:16:00,2024-01-01 13:21:00,1.0947005,3.2607249,0.0,69
VIN0000070,2024-01-01 13:21:00,2024-01-01 13:26:00,1.6569466,3.7695273,0.0,70
VIN0000071,2024-01-01 13:26:00,2024-01-01 13:32:00,1.0886081,4.4963958,0.0,71
VIN0000072,2024-01-01 13:32:00,2024-01-01 13:37:00,1.2962215,3.9976298,0.0,72
VIN0000073,2024-01-01 13:37:00,2024-01-01 13:38:00,1.4234878,0.0,0.0,73
VIN0000074,2024-01-01 13:38:00,2024-01-01 13:43:00,1.5253429,2.9895914,0.0,74
VIN0000075,2024-01-01 13:43:00,2024-01-01 13:49:00,1.4822707,4.4497826,0.0,75
VIN0000076,2024-01-01 13:49:00,2024-01-01 14:30:00,1.3865313,3.7345021,36.2699421,76
VIN0000077,2024-01-01 14:30:00,2024-01-01 14:36:00,1.6192433,4.0522924,0.0,77
VIN0000078,2024-01-01 14:36:00,2024-01-01 14:41:00,1.5220489,3.3561994,0.0,78
VIN0000079,2024-01-01 14:41:00,2024-01-01 14:45:00,1.2961316,2.9900485,0.0,79
VIN0000080,2024-01-01 14:45:00,2024-01-01 14:50:00,0.997809,4.0424323,0.0,80
VIN0000081,2024-01-01 14:50:00,2024-01-01 14:55:00,1.2376785,4.1520865,0.0,81
VIN0000082,2024-01-01 14:55:00,2024-01-01 15:01:00,1.3113076,3.9289389,0.0,82
VIN0000083,2024-01-01 15:01:00,2024-01-01 15:08:00,1.1024452,6.1205688,0.0,83
VIN0000084,2024-01-01 15:08:00,2024-01-01 15:14:00,1.0827272,5.0955989,0.0,84
VIN0000086,2024-01-01 15:14:00,2024-01-01 15:15:00,1.3897622,0.0,0.0,85
VIN0000087,2024-01-01 15:15:00,2024-01-01 15:21:00,1.3251233,4.0397096,0.0,86
VIN0000085,2024-01-01 15:21:00,2024-01-01 15:27:00,1.4226201,4.8894326,0.0,87
VIN0000088,2024-01-01 15:27:00,2024-01-01 15:31:00,1.5144907,2.5930947,0.0,88
VIN0000089,2024-01-01 15:31:00,2024-01-01 15:36:00,1.1533817,3.7204319,0.0,89
VIN0000090,2024-01-01 15:36:00,2024-01-01 15:43:00,1.967346,4.8246457,0.0,90
VIN0000091,2024-01-01 15:43:00,2024-01-01 15:48:00,1.3648175,3.6289302,0.0,91
VIN0000092,2024-01-01 15:48:00,2024-01-01 15:54:00,1.4922761,4.1591965,0.0,92
VIN0000094,2024-01-01 15:54:00,2024-01-01 15:58:00,1.4931259,3.4223428,0.0,93
VIN0000095,2024-01-01 15:58:00,2024-01-01 16:03:00,1.6833346,2.7240523,0.0,94
VIN0000093,2024-01-01 16:03:00,2024-01-01 16:09:00,1.5188369,4.1978159,0.0,95
VIN0000096,2024-01-01 16:09:00,2024-01-01 16:10:00,1.6146733,0.0,0.0,96
VIN0000097,2024-01-01 16:10:00,2024-01-01 16:14:00,0.992053,2.6632414,0.0,97
VIN0000098,2024-01-01 16:14:00,2024-01-01 16:19:00,1.5291747,3.7561732,0.0,98
VIN0000099,2024-01-01 16:19:00,2024-01-01 16:25:00,1.50968,4.7043606,0.0,99
VIN0000100,2024-01-01 16:25:00,2024-01-01 16:32:00,1.4835374,5.017795,0.0,100
VIN0000101,2024-01-01 16:32:00,2024-01-01 16:33:00,1.412765,0.0,0.0,101
VIN0000102,2024-01-01 16:33:00,2024-01-01 16:38:00,1.2436268,3.2577548,0.0,102
VIN0000103,2024-01-01 16:38:00,2024-01-01 16:44:00,1.663008,4.8657815,0.0,103
VIN0000104,2024-01-01 16:44:00,2024-01-01 16:52:00,1.8806003,5.7472152,0.0,104
VIN0000105,2024-01-01 16:52:00,2024-01-01 16:57:00,1.6043108,3.8636381,0.0,105
VIN0000106,2024-01-01 16:57:00,2024-01-01 17:03:00,1.7007521,3.9613436,0.0,106
VIN0000107,2024-01-01 17:03:00,2024-01-01 17:09:00,1.7417262,4.4793882,0.0,107
VIN0000108,2024-01-01 17:09:00,2024-01-01 17:16:00,1.5068464,4.8173676,0.0,108
VIN0000109,2024-01-01 17:16:00,2024-01-01 17:21:00,1.7635421,3.8385652,0.0,109
VIN0000110,2024-01-01 17:21:00,2024-01-01 17:27:00,1.4175842,4.0419571,0.0,110
VIN0000111,2024-01-01 17:27:00,2024-01-01 17:31:00,1.1013663,3.3664813,0.0,111
VIN0000112,2024-01-01 17:31:00,2024-01-01 17:35:00,1.5275389,2.610379,0.0,112
VIN0000113,2024-01-01 17:35:00,2024-01-01 17:41:00,1.6874533,3.8440405,0.0,113
VIN0000114,2024-01-01 17:41:00,2024-01-01 17:45:00,1.1885979,2.8833082,0.0,114
VIN0000115,2024-01-01 17:45:00,2024-01-01 17:50:00,1.2604062,3.712114,0.0,115
VIN0000116,2024-01-01 17:50:00,2024-01-01 17:56:00,1.0286685,5.2075284,0.0,116
VIN0000117,2024-01-01 17:56:00,2024-01-01 18:02:00,1.4320153,4.4204989,0.0,117
VIN0000118,2024-01-01 18:02:00,2024-01-01 18:06:00,1.654806,2.3718994,0.0,118
VIN0000119,2024-01-01 18:06:00,2024-01-01 18:12:00,1.763648,4.5063649,0.0,119
VIN0000120,2024-01-01 18:12:00,2024-01-01 18:18:00,1.8473884,4.2779345,0.0,120
VIN0000121,2024-01-01 18:18:00,2024-01-01 18:24:00,1.3890822,4.4627878,0.0,121
VIN0000122,2024-01-01 18:24:00,2024-01-01 18:29:00,1.3822303,3.0302964,0.0,122
VIN0000123,2024-01-01 18:29:00,2024-01-01 18:33:00,1.580123,2.6098966,0.0,123
VIN0000124,2024-01-01 18:33:00,2024-01-01 18:37:00,1.5133703,2.3320107,0.0,124
VIN0000125,2024-01-01 18:37:00,2024-01-01 18:42:00,1.5150368,4.2825062,0.0,125
VIN0000126,2024-01-01 18:42:00,2024-01-01 18:48:00,1.6946131,3.781651,0.0,126
VIN0000127,2024-01-01 18:48:00,2024-01-01 18:54:00,1.486456,4.9417008,0.0,127
VIN0000128,2024-01-01 18:54:00,2024-01-01 18:59:00,1.0407627,3.6869449,0.0,128
VIN0000129,2024-01-01 18:59:00,2024-01-01 19:04:00,1.4343035,3.2449495,0.0,129
VIN0000130,2024-01-01 19:04:00,2024-01-01 19:10:00,1.5887986,4.277625,0.0,130
VIN0000131,2024-01-01 19:10:00,2024-01-01 19:14:00,1.2948128,3.2705245,0.0,131
VIN0000132,2024-01-01 19:14:00,2024-01-01 19:19:00,1.2414682,3.944289,0.0,132
VIN0000133,2024-01-01 19:19:00,2024-01-01 19:25:00,1.5727213,4.0965151,0.0,133
VIN0000134,2024-01-01 19:25:00,2024-01-01 19:32:00,1.4553312,5.1387974,0.0,134
VIN0000135,2024-01-01 19:32:00,2024-01-01 19:36:00,1.4742266,3.3891447,0.0,135
VIN0000136,2024-01-01 19:36:00,2024-01-01 19:42:00,1.3844721,4.2687671,0.0,136
VIN0000137,2024-01-01 19:42:00,2024-01-01 19:47:00,1.4547706,3.0399982,0.0,137
VIN0000138,2024-01-01 19:47:00,2024-01-01 19:52:00,1.2798265,4.1913129,0.0,138
VIN0000139,2024-01-01 19:52:00,2024-01-01 19:58:00,1.3002984,4.7899979,0.0,139
VIN0000140,2024-01-01 19:58:00,2024-01-01 20:04:00,1.5132185,4.2311793,0.0,140
VIN0000141,2024-01-01 20:04:00,2024-01-01 20:05:00,1.231766,0.0,0.0,141
VIN0000142,2024-01-01 20:05:00,2024-01-01 20:07:00,1.4602486,0.0,0.0,142
VIN0000143,2024-01-01 20:07:00,2024-01-01 20:08:00,1.3342634,0.0,0.0,143
VIN0000144,2024-01-01 20:08:00,2024-01-01 20:13:00,1.4569854,3.9477407,0.0,144
VIN0000145,2024-01-01 20:13:00,2024-01-01 20:19:00,1.6223391,3.982154,0.0,145
VIN0000146,2024-01-01 20:19:00,2024-01-01 20:26:00,1.4515274,5.7023955,0.0,146
VIN0000147,2024-01-01 20:26:00,2024-01-01 20:31:00,1.5284465,3.8308154,0.0,147
VIN0000148,2024-01-01 20:31:00,2024-01-01 20:38:00,1.5988469,4.7054113,0.0,148
VIN0000149,2024-01-01 20:38:00,2024-01-01 20:42:00,1.4167423,2.5791564,0.0,149
VIN0000150,2024-01-01 20:42:00,2024-01-01 20:47:00,1.5491075,4.0459432,0.0,150
VIN0000151,2024-01-01 20:47:00,2024-01-01 20:51:00,1.2157761,2.7042255,0.0,151
VIN0000152,2024-01-01 20:51:00,2024-01-01 20:53:00,1.6911094,0.0,0.0,152
VIN0000153,2024-01-01 20:53:00,2024-01-01 20:59:00,1.4304523,4.6191488,0.0,153
VIN0000154,2024-01-01 20:59:00,2024-01-01 21:04:00,1.4267168,3.2864884,0.0,154
VIN0000156,2024-01-01 21:04:00,2024-01-01 21:09:00,1.318847,3.7789732,0.0,155
VIN0000155,2024-01-01 21:09:00,2024-01-01 21:10:00,1.4645422,0.0,0.0,156
VIN0000157,2024-01-01 21:10:00,2024-01-01 21:16:00,1.380131,4.5484587,0.0,157
VIN0000158,2024-01-01 21:16:00,2024-01-01 21:22:00,1.1403621,4.2890648,0.0,158
VIN0000159,2024-01-01 21:22:00,2024-01-01 21:26:00,1.7700342,3.0055947,0.0,159
VIN0000160,2024-01-01 21:26:00,2024-01-01 21:54:00,1.3046799,0.0,26.4595824,160
VIN0000161,2024-01-01 21:54:00,2024-01-01 22:01:00,1.4273405,4.9027122,0.0,161
VIN0000162,2024-01-01 22:01:00,2024-01-01 22:07:00,1.4861699,4.4905279,0.0,162
VIN0000163,2024-01-01 22:07:00,2024-01-01 22:11:00,1.143454,3.1429705,0.0,163
VIN0000164,2024-01-01 22:11:00,2024-01-01 22:12:00,1.5318713,0.0,0.0,164
VIN0000165,2024-01-01 22:12:00,2024-01-01 22:18:00,1.5310703,4.1516332,0.0,165
VIN0000166,2024-01-01 22:18:00,2024-01-01 22:24:00,1.4388122,4.9589041,0.0,166
VIN0000167,2024-01-01 22:24:00,2024-01-01 22:29:00,1.275419,3.0687532,0.0,167
VIN0000169,2024-01-02 06:36:00,2024-01-02 06:42:00,1.5385596,4.4104377,0.0,168
VIN0000168,2024-01-02 06:42:00,2024-01-02 06:48:00,1.2789115,4.6520537,0.0,169
VIN0000170,2024-01-02 06:48:00,2024-01-02 06:53:00,1.7573428,3.1145123,0.0,170
VIN0000171,2024-01-02 06:53:00,2024-01-02 06:58:00,1.4454077,3.5994807,0.0,171
VIN0000174,2024-01-02 07:00:00,2024-01-02 07:02:00,1.4948985,0.0,0.0,172
VIN0000175,2024-01-02 07:02:00,2024-01-02 07:08:00,1.3109595,4.8520416,0.0,173
VIN0000172,2024-01-02 07:13:00,2024-01-02 07:17:00,1.1270085,3.5681723,0.0,174
VIN0000176,2024-01-02 07:17:00,2024-01-02 07:22:00,1.4944169,2.6850944,0.0,175
VIN0000177,2024-01-02 07:22:00,2024-01-02 07:27:00,1.558137,4.2870187,0.0,176
VIN0000178,2024-01-02 07:27:00,2024-01-02 07:31:00,1.4743189,2.4182025,0.0,177
VIN0000179,2024-01-02 07:31:00,2024-01-02 07:37:00,1.4833371,4.4991723,0.0,178
VIN0000180,2024-01-02 07:37:00,2024-01-02 07:41:00,1.2329901,2.7101104,0.0,179
VIN0000181,2024-01-02 07:41:00,2024-01-02 07:46:00,1.3768844,3.5860002,0.0,180
VIN0000182,2024-01-02 07:46:00,2024-01-02 07:52:00,1.6024037,4.4947953,0.0,181
VIN0000183,2024-01-02 07:52:00,2024-01-02 07:56:00,1.4915276,2.2871069,0.0,182
VIN0000173,2024-01-02 07:56:00,2024-01-02 08:01:00,1.6442201,3.5409216,0.0,183
VIN0000184,2024-01-02 08:01:00,2024-01-02 08:05:00,0.9663782,2.8365779,0.0,184
VIN0000185,2024-01-02 08:05:00,2024-01-02 08:11:00,1.4732916,4.781687,0.0,185
VIN0000186,2024-01-02 08:11:00,2024-01-02 08:16:00,1.3204138,3.2678201,0.0,186
VIN0000187,2024-01-02 08:16:00,2024-01-02 08:17:00,1.4854106,0.0,0.0,187
VIN0000188,2024-01-02 08:17:00,2024-01-02 08:24:00,1.4742592,4.9880419,0.0,188
VIN0000189,2024-01-02 08:24:00,2024-01-02 08:25:00,1.4420865,0.0,0.0,189
VIN0000190,2024-01-02 08:25:00,2024-01-02 08:27:00,1.5717288,0.0,0.0,190
VIN0000191,2024-01-02 08:27:00,2024-01-02 08:32:00,1.7744371,3.5087968,0.0,191
VIN0000192,2024-01-02 08:32:00,2024-01-02 08:38:00,1.0095946,4.5280157,0.0,192
VIN0000193,2024-01-02 08:38:00,2024-01-02 08:44:00,1.4851803,5.0149877,0.0,193
VIN0000194,2024-01-02 08:44:00,2024-01-02 08:50:00,1.3301279,4.7352964,0.0,194
VIN0000195,2024-01-02 08:50:00,2024-01-02 08:55:00,1.2027588,3.9587564,0.0,195
VIN0000197,2024-01-02 08:55:00,2024-01-02 09:00:00,1.2804146,3.6181727,0.0,196
VIN0000198,2024-01-02 09:00:00,2024-01-02 09:06:00,1.6221037,3.7946257,0.0,197
VIN0000199,2024-01-02 09:06:00,2024-01-02 09:12:00,0.962661,4.8424893,0.0,198
VIN0000200,2024-01-02 09:12:00,2024-01-02 09:17:00,1.3083266,4.2145605,0.0,199
VIN0000201,2024-01-02 09:17:00,2024-01-02 09:19:00,1.3828633,0.0,0.0,200
VIN0000202,2024-01-02 09:20:00,2024-01-02 09:21:00,1.2318163,0.0,0.0,201
VIN0000203,2024-01-02 09:21:00,2024-01-02 09:26:00,1.5029395,3.1618256,0.0,202
VIN0000204,2024-01-02 09:26:00,2024-01-02 09:32:00,1.2675953,5.0078812,0.0,203
VIN0000205,2024-01-02 09:32:00,2024-01-02 09:38:00,1.3283628,4.5959879,0.0,204
VIN0000206,2024-01-02 09:38:00,2024-01-02 09:43:00,1.3845105,3.6253631,0.0,205
VIN0000207,2024-01-02 09:43:00,2024-01-02 09:49:00,1.2944101,4.5542238,0.0,206
VIN0000208,2024-01-02 09:49:00,2024-01-02 09:56:00,1.4229689,5.3487142,0.0,207
VIN0000209,2024-01-02 09:56:00,2024-01-02 10:02:00,1.2927773,4.4297465,0.0,208
VIN0000210,2024-01-02 10:02:00,2024-01-02 10:07:00,1.2326487,4.1650408,0.0,209
VIN0000211,2024-01-02 10:07:00,2024-01-02 10:09:00,1.7961177,0.0,0.0,210
VIN0000212,2024-01-02 10:09:00,2024-01-02 10:13:00,1.0479269,3.2729384,0.0,211
VIN0000196,2024-01-02 10:13:00,2024-01-02 10:19:00,1.45553,4.6020315,0.0,212
VIN0000213,2024-01-02 10:19:00,2024-01-02 10:23:00,1.2609865,3.0673647,0.0,213
VIN0000214,2024-01-02 10:23:00,2024-01-02 10:28:00,1.4183145,3.6588148,0.0,214
VIN0000215,2024-01-02 10:28:00,2024-01-02 10:36:00,1.4383226,5.8018688,0.0,215
VIN0000216,2024-01-02 10:36:00,2024-01-02 10:37:00,1.4106928,0.0,0.0,216
VIN0000217,2024-01-02 10:37:00,2024-01-02 10:44:00,1.3160603,5.3149111,0.0,217
VIN0000218,2024-01-02 10:44:00,2024-01-02 10:51:00,1.6097953,5.7355903,0.0,218
VIN0000219,2024-01-02 10:51:00,2024-01-02 10:52:00,1.2547372,0.0,0.0,219
VIN0000220,2024-01-02 10:52:00,2024-01-02 10:58:00,1.3037359,4.5546434,0.0,220
VIN0000221,2024-01-02 10:58:00,2024-01-02 11:05:00,1.3598085,5.4196502,0.0,221
VIN0000222,2024-01-02 11:05:00,2024-01-02 11:06:00,1.3631632,0.0,0.0,222
VIN0000223,2024-01-02 11:06:00,2024-01-02 11:11:00,1.2349843,3.254474,0.0,223
VIN0000224,2024-01-02 11:11:00,2024-01-02 11:17:00,1.378974,4.3109028,0.0,224
VIN0000225,2024-01-02 11:17:00,2024-01-02 11:22:00,1.4753037,4.1102561,0.0,225
VIN0000226,2024-01-02 11:22:00,2024-01-02 11:28:00,1.6322555,4.6518096,0.0,226
VIN0000227,2024-01-02 11:28:00,2024-01-02 11:36:00,1.5681337,5.6071448,0.0,227
VIN0000228,2024-01-02 11:36:00,2024-01-02 11:42:00,1.4795999,5.0180116,0.0,228
VIN0000229,2024-01-02 11:42:00,2024-01-02 11:46:00,1.4066581,2.4608267,0.0,229
VIN0000230,2024-01-02 11:46:00,2024-01-02 11:47:00,1.3177552,0.0,0.0,230
VIN0000231,2024-01-02 11:47:00,2024-01-02 11:52:00,1.231719,3.7177042,0.0,231
VIN0000232,2024-01-02 11:52:00,2024-01-02 11:56:00,1.1927497,2.9354974,0.0,232
VIN0000233,2024-01-02 11:56:00,2024-01-02 12:02:00,1.2457263,3.9193192,0.0,233
VIN0000234,2024-01-02 12:02:00,2024-01-02 12:07:00,1.5241336,3.5721811,0.0,234
VIN0000235,2024-01-02 12:07:00,2024-01-02 12:12:00,1.6922403,3.6762437,0.0,235
VIN0000236,2024-01-02 12:12:00,2024-01-02 12:18:00,1.7734991,4.0578899,0.0,236
VIN0000237,2024-01-02 12:18:00,2024-01-02 12:22:00,1.4342964,3.2204028,0.0,237
VIN0000238,2024-01-02 12:22:00,2024-01-02 12:26:00,1.2215255,2.7265135,0.0,238
VIN0000239,2024-01-02 12:26:00,2024-01-02 12:33:00,1.5067408,4.8667014,0.0,239
VIN0000240,2024-01-02 12:33:00,2024-01-02 13:14:00,1.0502416,2.5098389,37.3278097,240
VIN0000242,2024-01-02 13:14:00,2024-01-02 13:19:00,1.4631585,3.8830587,0.0,241
VIN0000241,2024-01-02 13:19:00,2024-01-02 13:24:00,1.2009758,4.2181209,0.0,242
VIN0000243,2024-01-02 13:24:00,2024-01-02 13:32:00,1.2376875,5.866993,0.0,243
VIN0000244,2024-01-02 13:32:00,2024-01-02 13:38:00,1.4243371,4.6632733,0.0,244
VIN0000245,2024-01-02 13:38:00,2024-01-02 13:39:00,1.2781314,0.0,0.0,245
VIN0000246,2024-01-02 13:39:00,2024-01-02 13:46:00,1.5834895,5.9606175,0.0,246
VIN0000247,2024-01-02 13:46:00,2024-01-02 13:53:00,1.6232381,4.8194053,0.0,247
VIN0000248,2024-01-02 13:53:00,2024-01-02 13:55:00,1.6422379,0.0,0.0,248
VIN0000249,2024-01-02 13:55:00,2024-01-02 14:01:00,1.2528469,5.5440378,0.0,249
VIN0000250,2024-01-02 14:01:00,2024-01-02 14:09:00,1.2854862,6.3109221,0.0,250
VIN0000251,2024-01-02 14:09:00,2024-01-02 14:14:00,1.4031271,3.7506562,0.0,251
VIN0000252,2024-01-02 14:14:00,2024-01-02 14:16:00,1.602217,0.0,0.0,252
VIN0000253,2024-01-02 14:16:00,2024-01-02 14:22:00,1.4972927,5.1399087,0.0,253
VIN0000254,2024-01-02 14:22:00,2024-01-02 14:27:00,1.6021352,3.2771753,0.0,254
VIN0000255,2024-01-02 14:27:00,2024-01-02 14:29:00,1.3512593,0.0,0.0,255
VIN0000256,2024-01-02 14:29:00,2024-01-02 14:34:00,1.2203987,3.7746875,0.0,256
VIN0000257,2024-01-02 14:34:00,2024-01-02 14:39:00,1.5306068,4.2448451,0.0,257
VIN0000258,2024-01-02 14:39:00,2024-01-02 14:44:00,1.5527361,3.2351651,0.0,258
VIN0000259,2024-01-02 14:44:00,2024-01-02 14:49:00,1.6403308,3.3249255,0.0,259
VIN0000260,2024-01-02 14:49:00,2024-01-02 14:54:00,1.3211279,3.1551153,0.0,260
VIN0000261,2024-01-02 14:54:00,2024-01-02 15:00:00,1.2755986,4.7883609,0.0,261
VIN0000262,2024-01-02 15:00:00,2024-01-02 15:04:00,1.0570293,3.2058384,0.0,262
VIN0000263,2024-01-02 15:04:00,2024-01-02 15:08:00,1.5799907,2.6387989,0.0,263
VIN0000264,2024-01-02 15:08:00,2024-01-02 15:13:00,1.5163082,3.6534901,0.0,264
VIN0000265,2024-01-02 15:13:00,2024-01-02 15:18:00,1.4505889,3.1556997,0.0,265
VIN0000267,2024-01-02 15:18:00,2024-01-02 15:24:00,1.6733872,4.73572,0.0,266
VIN0000268,2024-01-02 15:24:00,2024-01-02 15:30:00,1.6295138,4.0549755,0.0,267
VIN0000269,2024-01-02 15:30:00,2024-01-02 15:35:00,1.2534863,3.8166039,0.0,268
VIN0000270,2024-01-02 15:35:00,2024-01-02 15:40:00,1.6900056,3.4743925,0.0,269
VIN0000272,2024-01-02 15:40:00,2024-01-02 15:45:00,1.4324008,3.5156288,0.0,270
VIN0000271,2024-01-02 15:45:00,2024-01-02 15:50:00,1.3835866,3.8456529,0.0,271
VIN0000266,2024-01-02 15:50:00,2024-01-02 15:55:00,1.0146261,3.4314584,0.0,272
VIN0000274,2024-01-02 15:55:00,2024-01-02 16:00:00,0.9794035,4.0247031,0.0,273
VIN0000275,2024-01-02 16:00:00,2024-01-02 16:07:00,1.5984487,5.1867757,0.0,274
