VIN,planned_date,planned_sequence_in_day,planned_global_sequence,model,color,priority,actual_body_sequence,actual_paint_sequence
VIN0000032,2024-01-01,32,32,A-Sedan,White,Normal,32,32
VIN0000033,2024-01-01,33,33,C-EV,Blue,Normal,33,33
VIN0000034,2024-01-01,34,34,A-Sedan,Red,Normal,34,34
VIN0000035,2024-01-01,35,35,C-EV,Grey,Normal,41,41
VIN0000036,2024-01-01,36,36,B-SUV,Grey,Normal,35,35
VIN0000037,2024-01-01,37,37,A-Sedan,Blue,Normal,36,36
VIN0000038,2024-01-01,38,38,B-SUV,White,Normal,37,37
VIN0000039,2024-01-01,39,39,A-Sedan,Black,Normal,38,38
VIN0000040,2024-01-01,40,40,B-SUV,Black,Hold,39,39
VIN0000041,2024-01-01,41,41,B-SUV,Black,Normal,40,40
VIN0000042,2024-01-01,42,42,A-Sedan,Black,Normal,42,42
VIN0000043,2024-01-01,43,43,B-SUV,Black,Normal,43,43
VIN0000044,2024-01-01,44,44,A-Sedan,Orange,Normal,45,45
VIN0000045,2024-01-01,45,45,C-EV,Red,Normal,44,44
VIN0000046,2024-01-01,46,46,B-SUV,Grey,Normal,46,46
VIN0000047,2024-01-01,47,47,C-EV,Blue,Normal,47,47
VIN0000048,2024-01-01,48,48,A-Sedan,Green,Normal,48,48
VIN0000049,2024-01-01,49,49,A-Sedan,Red,Normal,49,49
VIN0000050,2024-01-01,50,50,A-Sedan,Silver,Normal,50,50
VIN0000051,2024-01-01,51,51,A-Sedan,Orange,Normal,51,51
VIN0000052,2024-01-01,52,52,C-EV,Blue,Normal,55,55
VIN0000053,2024-01-01,53,53,A-Sedan,White,Normal,52,52
VIN0000054,2024-01-01,54,54,A-Sedan,Black,Normal,53,53
VIN0000055,2024-01-01,55,55,B-SUV,Red,Normal,56,56
VIN0000056,2024-01-01,56,56,B-SUV,Blue,Normal,54,54
VIN0000057,2024-01-01,57,57,A-Sedan,Orange,Normal,57,57
VIN0000058,2024-01-01,58,58,A-Sedan,White,Normal,58,58
VIN0000059,2024-01-01,59,59,A-Sedan,Black,Normal,59,59
VIN0000060,2024-01-01,60,60,B-SUV,Blue,Normal,60,60
VIN0000061,2024-01-01,61,61,A-Sedan,Black,Normal,61,61
VIN0000062,2024-01-01,62,62,B-SUV,Red,Normal,62,62
VIN0000063,2024-01-01,63,63,B-SUV,Black,Normal,63,63
VIN0000064,2024-01-01,64,64,A-Sedan,Grey,Normal,69,69
VIN0000065,2024-01-01,65,65,A-Sedan,Silver,Normal,64,64
VIN0000066,2024-01-01,66,66,B-SUV,White,Normal,65,65
VIN0000067,2024-01-01,67,67,B-SUV,Blue,Normal,66,66
VIN0000068,2024-01-01,68,68,A-Sedan,White,Normal,67,67
VIN0000069,2024-01-01,69,69,B-SUV,Red,Normal,68,68
VIN0000070,2024-01-01,70,70,B-SUV,Orange,Normal,70,70
VIN0000071,2024-01-01,71,71,A-Sedan,Red,Expedite,71,71
VIN0000072,2024-01-01,72,72,A-Sedan,Silver,Expedite,72,72
VIN0000073,2024-01-01,73,73,B-SUV,Silver,Normal,73,73
VIN0000074,2024-01-01,74,74,A-Sedan,Orange,Normal,74,74
VIN0000075,2024-01-01,75,75,A-Sedan,Grey,Normal,75,75
VIN0000076,2024-01-01,76,76,B-SUV,White,Normal,76,76
VIN0000077,2024-01-01,77,77,A-Sedan,Silver,Normal,77,77
VIN0000078,2024-01-01,78,78,B-SUV,Black,Normal,78,78
VIN0000079,2024-01-01,79,79,A-Sedan,White,Normal,79,79
VIN0000080,2024-01-01,80,80,B-SUV,Red,Normal,80,80
VIN0000081,2024-01-01,81,81,A-Sedan,Grey,Normal,81,81
VIN0000082,2024-01-01,82,82,C-EV,White,Normal,82,82
VIN0000083,2024-01-01,83,83,B-SUV,Blue,Normal,83,83
VIN0000084,2024-01-01,84,84,C-EV,White,Normal,84,84
VIN0000085,2024-01-01,85,85,B-SUV,Silver,Normal,87,87
VIN0000086,2024-01-01,86,86,B-SUV,White,Normal,85,85
VIN0000087,2024-01-01,87,87,A-Sedan,Orange,Normal,86,86
VIN0000088,2024-01-01,88,88,A-Sedan,White,Normal,88,88
VIN0000089,2024-01-01,89,89,A-Sedan,Black,Normal,89,89
VIN0000090,2024-01-01,90,90,A-Sedan,White,Hold,90,90
VIN0000091,2024-01-01,91,91,A-Sedan,Green,Normal,91,91
VIN0000092,2024-01-01,92,92,C-EV,Silver,Normal,92,92
VIN0000093,2024-01-01,93,93,B-SUV,Red,Normal,95,95
VIN0000094,2024-01-01,94,94,A-Sedan,Black,Normal,93,93
VIN0000095,2024-01-01,95,95,B-SUV,White,Normal,94,94
VIN0000096,2024-01-01,96,96,A-Sedan,Red,Normal,96,96
VIN0000097,2024-01-01,97,97,A-Sedan,Blue,Expedite,97,97
VIN0000098,2024-01-01,98,98,A-Sedan,Black,Normal,98,98
VIN0000099,2024-01-01,99,99,A-Sedan,Silver,Normal,99,99
VIN0000100,2024-01-01,100,100,A-Sedan,Red,Normal,100,100
VIN0000101,2024-01-01,101,101,B-SUV,Red,Normal,101,101
VIN0000102,2024-01-01,102,102,A-Sedan,Black,Normal,102,102
VIN0000103,2024-01-01,103,103,A-Sedan,Blue,Normal,103,103
VIN0000104,2024-01-01,104,104,B-SUV,White,Normal,104,104
VIN0000105,2024-01-01,105,105,A-Sedan,Silver,Normal,105,105
VIN0000106,2024-01-01,106,106,B-SUV,Blue,Hold,106,106
VIN0000107,2024-01-01,107,107,B-SUV,Silver,Normal,107,107
VIN0000108,2024-01-01,108,108,C-EV,White,Normal,108,108
VIN0000109,2024-01-01,109,109,A-Sedan,Green,Normal,109,109
VIN0000110,2024-01-01,110,110,C-EV,Black,Normal,110,110
VIN0000111,2024-01-01,111,111,A-Sedan,Silver,Normal,111,111
VIN0000112,2024-01-01,112,112,A-Sedan,Green,Normal,112,112
VIN0000113,2024-01-01,113,113,C-EV,Silver,Normal,113,113
VIN0000114,2024-01-01,114,114,B-SUV,White,Normal,114,114
VIN0000115,2024-01-01,115,115,A-Sedan,Black,Normal,115,115
VIN0000116,2024-01-01,116,116,C-EV,Orange,Normal,116,116
VIN0000117,2024-01-01,117,117,A-Sedan,Black,Normal,117,117
VIN0000118,2024-01-01,118,118,C-EV,Blue,Normal,118,118
VIN0000119,2024-01-01,119,119,C-EV,Silver,Normal,119,119
VIN0000120,2024-01-01,120,120,B-SUV,White,Normal,120,120
VIN0000121,2024-01-01,121,121,A-Sedan,Green,Normal,121,121
VIN0000122,2024-01-01,122,122,A-Sedan,Blue,Normal,122,122
VIN0000123,2024-01-01,123,123,B-SUV,White,Normal,123,123
VIN0000124,2024-01-01,124,124,A-Sedan,Black,Normal,124,124
VIN0000125,2024-01-01,125,125,A-Sedan,White,Normal,125,125
VIN0000126,2024-01-01,126,126,A-Sedan,Green,Normal,126,126
VIN0000127,2024-01-01,127,127,B-SUV,Orange,Normal,127,127
VIN0000128,2024-01-01,128,128,B-SUV,Black,Normal,128,128
VIN0000129,2024-01-01,129,129,A-Sedan,Silver,Normal,129,129
VIN0000130,2024-01-01,130,130,A-Sedan,Black,Normal,130,130
VIN0000131,2024-01-01,131,131,A-Sedan,White,Normal,131,131
VIN0000132,2024-01-01,132,132,A-Sedan,Silver,Expedite,132,132
VIN0000133,2024-01-01,133,133,A-Sedan,Red,Normal,133,133
VIN0000134,2024-01-01,134,134,A-Sedan,Grey,Normal,134,134
VIN0000135,2024-01-01,135,135,A-Sedan,White,Normal,135,135
VIN0000136,2024-01-01,136,136,A-Sedan,Red,Normal,136,136
VIN0000137,2024-01-01,137,137,A-Sedan,Black,Normal,137,137
VIN0000138,2024-01-01,138,138,A-Sedan,Orange,Normal,138,138
VIN0000139,2024-01-01,139,139,B-SUV,White,Normal,139,139
VIN0000140,2024-01-01,140,140,B-SUV,Black,Normal,140,140
VIN0000141,2024-01-01,141,141,A-Sedan,Black,Normal,141,141
VIN0000142,2024-01-01,142,142,A-Sedan,Black,Normal,142,142
VIN0000143,2024-01-01,143,143,A-Sedan,Black,Normal,143,143
VIN0000144,2024-01-01,144,144,B-SUV,Grey,Hold,144,144
VIN0000145,2024-01-01,145,145,A-Sedan,White,Normal,145,145
VIN0000146,2024-01-01,146,146,B-SUV,Black,Normal,146,146
VIN0000147,2024-01-01,147,147,C-EV,Silver,Normal,147,147
VIN0000148,2024-01-01,148,148,A-Sedan,White,Expedite,148,148
VIN0000149,2024-01-01,149,149,B-SUV,Silver,Normal,149,149
VIN0000150,2024-01-01,150,150,A-Sedan,Black,Normal,150,150
VIN0000151,2024-01-01,151,151,B-SUV,Grey,Normal,151,151
VIN0000152,2024-01-01,152,152,B-SUV,Grey,Normal,152,152
VIN0000153,2024-01-01,153,153,B-SUV,Silver,Hold,153,153
VIN0000154,2024-01-01,154,154,B-SUV,Black,Normal,154,154
VIN0000155,2024-01-01,155,155,A-Sedan,White,Normal,156,156
VIN0000156,2024-01-01,156,156,A-Sedan,White,Normal,155,155
VIN0000157,2024-01-01,157,157,B-SUV,Blue,Normal,157,157
VIN0000158,2024-01-01,158,158,A-Sedan,Green,Normal,158,158
VIN0000159,2024-01-01,159,159,C-EV,Blue,Expedite,159,159
VIN0000160,2024-01-01,160,160,C-EV,Blue,Normal,160,160
VIN0000161,2024-01-01,161,161,B-SUV,Silver,Normal,161,161
VIN0000162,2024-01-01,162,162,A-Sedan,White,Normal,162,162
VIN0000163,2024-01-01,163,163,A-Sedan,Green,Expedite,163,163
VIN0000164,2024-01-01,164,164,B-SUV,Green,Normal,164,164
VIN0000165,2024-01-01,165,165,A-Sedan,White,Normal,165,165
VIN0000166,2024-01-01,166,166,B-SUV,Orange,Normal,166,166
VIN0000167,2024-01-01,167,167,C-EV,Grey,Normal,167,167
VIN0000168,2024-01-02,1,168,A-Sedan,Silver,Normal,169,169
VIN0000169,2024-01-02,2,169,A-Sedan,Black,Normal,168,168
VIN0000170,2024-01-02,3,170,B-SUV,Orange,Normal,170,170
VIN0000171,2024-01-02,4,171,C-EV,Black,Normal,171,171
VIN0000172,2024-01-02,5,172,A-Sedan,Red,Normal,174,174
VIN0000173,2024-01-02,6,173,B-SUV,Green,Expedite,183,183
VIN0000174,2024-01-02,7,174,A-Sedan,Black,Expedite,172,172
VIN0000175,2024-01-02,8,175,B-SUV,Silver,Normal,173,173
VIN0000176,2024-01-02,9,176,A-Sedan,Silver,Normal,175,175
VIN0000177,2024-01-02,10,177,A-Sedan,White,Normal,176,176
VIN0000178,2024-01-02,11,178,A-Sedan,Grey,Normal,177,177
VIN0000179,2024-01-02,12,179,C-EV,Orange,Normal,178,178
VIN0000180,2024-01-02,13,180,A-Sedan,White,Normal,179,179
VIN0000181,2024-01-02,14,181,A-Sedan,Silver,Normal,180,180
VIN0000182,2024-01-02,15,182,B-SUV,Blue,Normal,181,181
VIN0000183,2024-01-02,16,183,A-Sedan,Silver,Hold,182,182
VIN0000184,2024-01-02,17,184,B-SUV,Grey,Normal,184,184
VIN0000185,2024-01-02,18,185,A-Sedan,Red,Hold,185,185
VIN0000186,2024-01-02,19,186,A-Sedan,Silver,Normal,186,186
VIN0000187,2024-01-02,20,187,C-EV,Silver,Normal,187,187
VIN0000188,2024-01-02,21,188,B-SUV,Black,Normal,188,188
VIN0000189,2024-01-02,22,189,A-Sedan,Black,Normal,189,189
VIN0000190,2024-01-02,23,190,B-SUV,Black,Normal,190,190
VIN0000191,2024-01-02,24,191,A-Sedan,Green,Normal,191,191
VIN0000192,2024-01-02,25,192,C-EV,Black,Normal,192,192
VIN0000193,2024-01-02,26,193,A-Sedan,Blue,Normal,193,193
VIN0000194,2024-01-02,27,194,B-SUV,White,Normal,194,194
VIN0000195,2024-01-02,28,195,B-SUV,Orange,Normal,195,195
VIN0000196,2024-01-02,29,196,B-SUV,Black,Normal,212,212
VIN0000197,2024-01-02,30,197,B-SUV,Silver,Normal,196,196
VIN0000198,2024-01-02,31,198,B-SUV,Black,Normal,197,197
VIN0000199,2024-01-02,32,199,C-EV,Silver,Normal,198,198
VIN0000200,2024-01-02,33,200,B-SUV,White,Normal,199,199
VIN0000201,2024-01-02,34,201,C-EV,White,Normal,200,200
VIN0000202,2024-01-02,35,202,A-Sedan,White,Normal,201,201
VIN0000203,2024-01-02,36,203,A-Sedan,Red,Normal,202,202
VIN0000204,2024-01-02,37,204,A-Sedan,White,Normal,203,203
VIN0000205,2024-01-02,38,205,B-SUV,Red,Normal,204,204
VIN0000206,2024-01-02,39,206,B-SUV,Green,Normal,205,205
VIN0000207,2024-01-02,40,207,C-EV,White,Normal,206,206
VIN0000208,2024-01-02,41,208,C-EV,Blue,Expedite,207,207
VIN0000209,2024-01-02,42,209,A-Sedan,Silver,Normal,208,208
VIN0000210,2024-01-02,43,210,B-SUV,Black,Normal,209,209
VIN0000211,2024-01-02,44,211,C-EV,Black,Normal,210,210
VIN0000212,2024-01-02,45,212,B-SUV,Silver,Normal,211,211
VIN0000213,2024-01-02,46,213,A-Sedan,White,Normal,213,213
VIN0000214,2024-01-02,47,214,B-SUV,Blue,Expedite,214,214
VIN0000215,2024-01-02,48,215,A-Sedan,Black,Normal,215,215
VIN0000216,2024-01-02,49,216,B-SUV,Black,Normal,216,216
VIN0000217,2024-01-02,50,217,B-SUV,Silver,Normal,217,217
VIN0000218,2024-01-02,51,218,A-Sedan,White,Normal,218,218
VIN0000219,2024-01-02,52,219,B-SUV,White,Normal,219,219
VIN0000220,2024-01-02,53,220,A-Sedan,Red,Normal,220,220
VIN0000221,2024-01-02,54,221,A-Sedan,Black,Normal,221,221
VIN0000222,2024-01-02,55,222,C-EV,Black,Expedite,222,222
VIN0000223,2024-01-02,56,223,C-EV,Silver,Normal,223,223
VIN0000224,2024-01-02,57,224,B-SUV,White,Normal,224,224
VIN0000225,2024-01-02,58,225,C-EV,Orange,Hold,225,225
VIN0000226,2024-01-02,59,226,B-SUV,White,Normal,226,226
VIN0000227,2024-01-02,60,227,A-Sedan,Black,Normal,227,227
VIN0000228,2024-01-02,61,228,B-SUV,Orange,Expedite,228,228
VIN0000229,2024-01-02,62,229,A-Sedan,Black,Normal,229,229
VIN0000230,2024-01-02,63,230,A-Sedan,Black,Normal,230,230
VIN0000231,2024-01-02,64,231,B-SUV,Blue,Normal,231,231
VIN0000232,2024-01-02,65,232,B-SUV,Grey,Hold,232,232
VIN0000233,2024-01-02,66,233,A-Sedan,Red,Normal,233,233
VIN0000234,2024-01-02,67,234,B-SUV,Silver,Normal,234,234
VIN0000235,2024-01-02,68,235,B-SUV,White,Normal,235,235
VIN0000236,2024-01-02,69,236,A-Sedan,Green,Normal,236,236
VIN0000237,2024-01-02,70,237,B-SUV,Black,Normal,237,237
VIN0000238,2024-01-02,71,238,A-Sedan,Blue,Normal,238,238
VIN0000239,2024-01-02,72,239,A-Sedan,Green,Normal,239,239
VIN0000240,2024-01-02,73,240,B-SUV,White,Normal,240,240
VIN0000241,2024-01-02,74,241,A-Sedan,Blue,Expedite,242,242
VIN0000242,2024-01-02,75,242,B-SUV,Red,Normal,241,241
VIN0000243,2024-01-02,76,243,B-SUV,White,Normal,243,243
VIN0000244,2024-01-02,77,244,A-Sedan,Grey,Normal,244,244
VIN0000245,2024-01-02,78,245,A-Sedan,Grey,Normal,245,245
VIN0000246,2024-01-02,79,246,B-SUV,Blue,Normal,246,246
VIN0000247,2024-01-02,80,247,B-SUV,Grey,Normal,247,247
VIN0000248,2024-01-02,81,248,C-EV,Grey,Normal,248,248
VIN0000249,2024-01-02,82,249,A-Sedan,Red,Normal,249,249
VIN0000250,2024-01-02,83,250,C-EV,Blue,Normal,250,250
VIN0000251,2024-01-02,84,251,A-Sedan,Grey,Normal,251,251
VIN0000252,2024-01-02,85,252,A-Sedan,Grey,Normal,252,252
VIN0000253,2024-01-02,86,253,B-SUV,Blue,Normal,253,253
VIN0000254,2024-01-02,87,254,A-Sedan,Orange,Normal,254,254
VIN0000255,2024-01-02,88,255,A-Sedan,Orange,Normal,255,255
VIN0000256,2024-01-02,89,256,A-Sedan,Silver,Normal,256,256
VIN0000257,2024-01-02,90,257,A-Sedan,White,Normal,257,257
VIN0000258,2024-01-02,91,258,C-EV,Grey,Normal,258,258
VIN0000259,2024-01-02,92,259,A-Sedan,Blue,Normal,259,259
VIN0000260,2024-01-02,93,260,A-Sedan,White,Normal,260,260
VIN0000261,2024-01-02,94,261,A-Sedan,Silver,Normal,261,261
VIN0000262,2024-01-02,95,262,A-Sedan,White,Normal,262,262
VIN0000263,2024-01-02,96,263,A-Sedan,Grey,Normal,263,263
VIN0000264,2024-01-02,97,264,C-EV,Blue,Normal,264,264
VIN0000265,2024-01-02,98,265,B-SUV,White,Normal,265,265
VIN0000266,2024-01-02,99,266,A-Sedan,White,Normal,272,272
VIN0000267,2024-01-02,100,267,C-EV,Blue,Normal,266,266
VIN0000268,2024-01-02,101,268,A-Sedan,Green,Normal,267,267
VIN0000269,2024-01-02,102,269,B-SUV,Red,Normal,268,268
VIN0000270,2024-01-02,103,270,A-Sedan,Black,Normal,269,269
VIN0000271,2024-01-02,104,271,B-SUV,Silver,Expedite,271,271
VIN0000272,2024-01-02,105,272,C-EV,Blue,Normal,270,270
VIN0000273,2024-01-02,106,273,C-EV,Orange,Normal,283,283
VIN0000274,2024-01-02,107,274,B-SUV,Grey,Normal,273,273
VIN0000275,2024-01-02,108,275,A-Sedan,Black,Normal,274,274
VIN0000276,2024-01-02,109,276,C-EV,Blue,Normal,275,275
VIN0000277,2024-01-02,110,277,C-EV,Silver,Normal,276,276
VIN0000278,2024-01-02,111,278,C-EV,Blue,Normal,277,277
VIN0000279,2024-01-02,112,279,B-SUV,Black,Normal,278,278
VIN0000280,2024-01-02,113,280,C-EV,White,Normal,279,279
VIN0000281,2024-01-02,114,281,B-SUV,Black,Normal,280,280
VIN0000282,2024-01-02,115,282,B-SUV,White,Normal,281,281
VIN0000283,2024-01-02,116,283,C-EV,Black,Normal,282,282
VIN0000284,2024-01-02,117,284,B-SUV,White,Normal,284,284
VIN0000285,2024-01-02,118,285,A-Sedan,Red,Normal,285,285
VIN0000286,2024-01-02,119,286,B-SUV,Black,Normal,286,286
VIN0000287,2024-01-02,120,287,B-SUV,Black,Hold,289,289
VIN0000288,2024-01-02,121,288,A-Sedan,Red,Normal,287,287
VIN0000289,2024-01-02,122,289,A-Sedan,White,Expedite,288,288
VIN0000290,2024-01-02,123,290,A-Sedan,Red,Normal,290,290
VIN0000291,2024-01-02,124,291,B-SUV,White,Normal,291,291
VIN0000292,2024-01-02,125,292,B-SUV,Green,Normal,292,292
VIN0000293,2024-01-02,126,293,A-Sedan,Orange,Normal,293,293
VIN0000294,2024-01-02,127,294,B-SUV,White,Normal,294,294
VIN0000295,2024-01-02,128,295,C-EV,Grey,Normal,295,295
VIN0000296,2024-01-02,129,296,B-SUV,Black,Expedite,296,296
VIN0000297,2024-01-02,130,297,C-EV,White,Normal,297,297
VIN0000298,2024-01-02,131,298,A-Sedan,Black,Normal,298,298
VIN0000299,2024-01-02,132,299,A-Sedan,White,Normal,299,299
VIN0000300,2024-01-02,133,300,B-SUV,Black,Normal,300,300
VIN0000301,2024-01-02,134,301,A-Sedan,White,Normal,301,301
VIN0000302,2024-01-02,135,302,A-Sedan,White,Normal,302,302
VIN0000303,2024-01-02,136,303,B-SUV,Silver,Normal,303,303
VIN0000304,2024-01-02,137,304,C-EV,Silver,Normal,304,304
VIN0000305,2024-01-02,138,305,B-SUV,Blue,Normal,305,305
VIN0000306,2024-01-02,139,306,C-EV,Blue,Normal,306,306
VIN0000307,2024-01-02,140,307,A-Sedan,Orange,Normal,307,307
VIN0000308,2024-01-02,141,308,A-Sedan,Grey,Normal,308,308
VIN0000309,2024-01-02,142,309,A-Sedan,Silver,Normal,309,309
VIN0000310,2024-01-02,143,310,B-SUV,Orange,Normal,310,310
VIN0000311,2024-01-02,144,311,B-SUV,Black,Normal,311,311
VIN0000312,2024-01-02,145,312,A-Sedan,Grey,Normal,314,314
VIN0000313,2024-01-02,146,313,A-Sedan,Black,Normal,312,312
VIN0000314,2024-01-02,147,314,B-SUV,Orange,Normal,313,313
VIN0000315,2024-01-02,148,315,A-Sedan,Red,Normal,315,315
VIN0000316,2024-01-02,149,316,C-EV,Grey,Normal,316,316
VIN0000317,2024-01-02,150,317,B-SUV,White,Normal,317,317
VIN0000318,2024-01-02,151,318,C-EV,Red,Normal,318,318
VIN0000319,2024-01-02,152,319,A-Sedan,Green,Normal,319,319
VIN0000320,2024-01-02,153,320,A-Sedan,Blue,Normal,320,320
VIN0000321,2024-01-02,154,321,C-EV,Red,Normal,321,321
VIN0000322,2024-01-02,155,322,A-Sedan,Black,Normal,322,322
VIN0000323,2024-01-02,156,323,B-SUV,Black,Normal,323,323
VIN0000324,2024-01-02,157,324,A-Sedan,Black,Normal,324,324
VIN0000325,2024-01-02,158,325,B-SUV,Orange,Normal,325,325
VIN0000326,2024-01-02,159,326,A-Sedan,Red,Normal,326,326
VIN0000327,2024-01-02,160,327,B-SUV,Grey,Normal,327,327
VIN0000328,2024-01-02,161,328,A-Sedan,Silver,Normal,328,328
VIN0000329,2024-01-02,162,329,B-SUV,Black,Normal,329,329
VIN0000330,2024-01-02,163,330,A-Sedan,Black,Normal,330,330
VIN0000331,2024-01-02,164,331,B-SUV,Grey,Hold,331,331
VIN0000332,2024-01-03,1,332,A-Sedan,White,Normal,336,336
VIN0000333,2024-01-03,2,333,C-EV,Grey,Normal,332,332
VIN0000334,2024-01-03,3,334,A-Sedan,White,Normal,342,342
VIN0000335,2024-01-03,4,335,B-SUV,Orange,Normal,333,333
VIN0000336,2024-01-03,5,336,C-EV,Blue,Normal,334,334
VIN0000337,2024-01-03,6,337,A-Sedan,Grey,Normal,335,335
VIN0000338,2024-01-03,7,338,B-SUV,Black,Normal,337,337
VIN0000339,2024-01-03,8,339,A-Sedan,Black,Normal,338,338
VIN0000340,2024-01-03,9,340,B-SUV,Black,Normal,339,339
VIN0000341,2024-01-03,10,341,C-EV,Blue,Normal,340,340
VIN0000342,2024-01-03,11,342,B-SUV,White,Normal,341,341
VIN0000343,2024-01-03,12,343,A-Sedan,Blue,Normal,343,343
VIN0000344,2024-01-03,13,344,A-Sedan,White,Normal,344,344
VIN0000345,2024-01-03,14,345,A-Sedan,White,Normal,345,345
VIN0000346,2024-01-03,15,346,A-Sedan,Blue,Normal,346,346
VIN0000347,2024-01-03,16,347,B-SUV,Silver,Normal,347,347
VIN0000348,2024-01-03,17,348,B-SUV,Red,Normal,348,348
VIN0000349,2024-01-03,18,349,A-Sedan,Black,Normal,349,349
VIN0000350,2024-01-03,19,350,A-Sedan,White,Normal,350,350
VIN0000351,2024-01-03,20,351,A-Sedan,White,Normal,351,351
VIN0000352,2024-01-03,21,352,C-EV,Silver,Normal,352,352
VIN0000353,2024-01-03,22,353,B-SUV,Orange,Normal,353,353
VIN0000354,2024-01-03,23,354,C-EV,Green,Normal,354,354
VIN0000355,2024-01-03,24,355,A-Sedan,White,Normal,355,355
VIN0000356,2024-01-03,25,356,B-SUV,Black,Normal,356,356
VIN0000357,2024-01-03,26,357,A-Sedan,White,Normal,357,357
VIN0000358,2024-01-03,27,358,B-SUV,Silver,Normal,358,358
VIN0000359,2024-01-03,28,359,C-EV,White,Expedite,359,359
VIN0000360,2024-01-03,29,360,B-SUV,Green,Normal,360,360
VIN0000361,2024-01-03,30,361,C-EV,Silver,Normal,361,361
VIN0000362,2024-01-03,31,362,A-Sedan,Silver,Normal,362,362
VIN0000363,2024-01-03,32,363,A-Sedan,Red,Normal,363,363
VIN0000364,2024-01-03,33,364,C-EV,Blue,Normal,364,364
VIN0000365,2024-01-03,34,365,B-SUV,Silver,Normal,365,365
VIN0000366,2024-01-03,35,366,A-Sedan,White,Normal,366,366
VIN0000367,2024-01-03,36,367,B-SUV,Orange,Normal,367,367
VIN0000368,2024-01-03,37,368,A-Sedan,Silver,Normal,368,368
VIN0000369,2024-01-03,38,369,B-SUV,Red,Normal,369,369
VIN0000370,2024-01-03,39,370,A-Sedan,Black,Normal,370,370
VIN0000371,2024-01-03,40,371,A-Sedan,Orange,Normal,371,371
VIN0000372,2024-01-03,41,372,A-Sedan,Blue,Normal,372,372
VIN0000373,2024-01-03,42,373,A-Sedan,Black,Normal,373,373
VIN0000374,2024-01-03,43,374,B-SUV,Silver,Normal,374,374
VIN0000375,2024-01-03,44,375,A-Sedan,White,Normal,375,375
VIN0000376,2024-01-03,45,376,B-SUV,Blue,Normal,376,376
VIN0000377,2024-01-03,46,377,B-SUV,Grey,Normal,377,377
VIN0000378,2024-01-03,47,378,A-Sedan,Grey,Normal,378,378
VIN0000379,2024-01-03,48,379,A-Sedan,Green,Normal,379,379
VIN0000380,2024-01-03,49,380,B-SUV,Grey,Normal,380,380
VIN0000381,2024-01-03,50,381,A-Sedan,Red,Normal,381,381
VIN0000382,2024-01-03,51,382,A-Sedan,Blue,Normal,382,382
VIN0000383,2024-01-03,52,383,C-EV,Black,Normal,383,383
VIN0000384,2024-01-03,53,384,C-EV,White,Normal,384,384
VIN0000385,2024-01-03,54,385,C-EV,White,Normal,385,385
VIN0000386,2024-01-03,55,386,B-SUV,Black,Normal,389,389
VIN0000387,2024-01-03,56,387,B-SUV,Grey,Normal,386,386
VIN0000388,2024-01-03,57,388,B-SUV,White,Normal,387,387
VIN0000389,2024-01-03,58,389,A-Sedan,Blue,Normal,388,388
VIN0000390,2024-01-03,59,390,A-Sedan,White,Normal,390,390
